,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
110,242.4021250858624,181.67164854430388,181.67164854430388,0.3,0.0,1.025968091266158,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
115,244.37721333433095,179.69523274657078,179.69523274657078,0.3,0.0,1.010805886249731,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
120,246.130628590562,177.58566249752923,177.58566249752923,0.3,0.0,0.9956646688619658,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
125,247.68725020641517,175.3776945897194,175.3776945897194,0.3,0.0,0.9806320023363546,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
130,249.069165212761,173.10122395013366,173.10122395013366,0.3,0.0,0.9657816786298171,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
135,250.29598171416043,170.78186037373763,170.78186037373763,0.3,0.0,0.951175339934423,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
140,251.3851071098574,168.44144144330315,168.44144144330315,0.3,0.0,0.9368639299965388,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
145,252.35199508878415,166.09848846885458,166.09848846885458,0.3,0.0,0.922888992051791,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
150,253.21036490321197,163.76861155885027,163.76861155885027,0.3,0.0,0.9092838285844422,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
155,253.97239603233896,161.4648692898235,161.4648692898235,0.3,0.0,0.8960745366685705,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
160,254.64890099791214,159.19808786361318,159.19808786361318,0.3,0.0,0.8832809313323052,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
165,255.24947878397907,156.97714412439709,156.97714412439709,0.3,0.0,0.8709173681929024,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
170,255.7826510376542,154.80921634511665,154.80921634511665,0.3,0.0,0.8589934755284391,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
175,256.2559829834637,152.70000627885133,152.70000627885133,0.3,0.0,0.8475148049711355,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
180,256.6761907669322,150.65393560015715,150.65393560015715,0.3,0.0,0.8364834091184769,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
185,257.0492367505191,148.674319529764,148.674319529764,0.3,0.0,0.8258983535529744,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
190,257.38041411406437,146.763520139247,146.763520139247,0.3,0.0,0.8157561700318559,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
195,257.6744219601486,144.92308156669264,144.92308156669264,0.3,0.0,0.8060512569472557,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
200,257.93543199004245,143.15384913670283,143.15384913670283,0.3,0.0,0.7967762325592117,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
205,258.16714769631534,141.45607416539272,141.45607416539272,0.3,0.0,0.7879222459621912,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
210,258.37285691199327,139.82950604072283,139.82950604072283,0.3,0.0,0.7794792502557335,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
215,258.5554784618895,138.27347299821955,138.27347299821955,0.3,0.0,0.7714362419463082,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
220,258.7176035780471,136.7869528597829,136.7869528597829,0.3,0.0,0.7637814702063482,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
225,258.8615326669419,135.36863486697783,135.36863486697783,0.3,0.0,0.7565026192536467,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
230,258.9893079501372,134.01697361827692,134.01697361827692,0.3,0.0,0.749586966786363,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
235,259.1027424415314,132.73023601066018,132.73023601066018,0.3,0.0,0.7430215211124857,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
240,259.20344567236054,131.5065419884374,131.5065419884374,0.3,0.0,0.7367931393448123,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
245,259.29284652896763,130.34389981493183,130.34389981493183,0.3,0.0,0.7308886287906468,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
250,259.37221352738726,129.24023650467322,129.24023650467322,0.3,0.0,0.7252948334470282,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
255,259.4426728124234,128.19342398402227,128.19342398402227,0.3,0.0,0.7199987073152104,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
260,259.5052241366092,127.20130148582601,127.20130148582601,0.3,0.0,0.7149873760702762,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
265,259.5607550457772,126.26169462800621,126.26169462800621,0.3,0.0,0.7102481884613837,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
