,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475
145,0.0,-0.4153954427136153,-0.3619821901880602,-0.3150325686022324,-0.26284151623462737,-0.23265449814515016,-0.199197592136108,-0.1624332564525024,-0.13766165322417567,-0.11067204286096999,-0.08152065587857016,-0.08385063284885685,-0.06880034676651159,-0.05275389106075401,-0.05373912867265018,0.0,-0.05505292122552885,0.0,0.0,-0.05466940188093372,0.0,0.0,-0.04994891018055156,0.0,0.0,0.0,-0.032681321600752856,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0.0,-0.39676834400011884,-0.3461628689280154,-0.3016518251567195,-0.2520260548817843,-0.2234152887994325,-0.19159782200188857,-0.15651239382122872,-0.1328999370975028,-0.10707017472991476,-0.0790514591864071,-0.08152065587857016,-0.06708050627908535,-0.05160026007488394,-0.05275389106075401,0.0,-0.05451934988177254,0.0,0.0,-0.05518492527212071,0.0,0.0,-0.05213315268214075,0.0,0.0,0.0,-0.03852392522006558,0.0,0.0,0.0,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0.0,-0.3785555613408178,-0.3306402866667675,-0.28846905744001106,-0.24132146012537525,-0.2142221466495169,-0.18398906136423854,-0.1505411458586261,-0.1280555949446418,-0.10336661774250144,-0.0764786962356534,-0.0790514591864071,-0.06521652470285622,-0.05031037970931396,-0.05160026007488394,0.0,-0.05373912867265018,0.0,0.0,-0.05529260905116179,0.0,0.0,-0.053677786773523806,0.0,0.0,0.0,-0.04326025735310059,0.0,0.0,0.0,-0.017043792692898047,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.0,-0.3608041165759044,-0.31546296778401306,-0.27553357222230446,-0.2307752459520085,-0.20512324110656976,-0.17641823841724857,-0.14456283392904634,-0.1231700284297852,-0.099598796068054,-0.07383329838750119,-0.0764786962356534,-0.06324116734912577,-0.048912393527142495,-0.05031037970931396,0.0,-0.05275389106075401,0.0,0.0,-0.05505292122552885,0.0,0.0,-0.05466940188093372,0.0,0.0,0.0,-0.04702771480835968,0.0,0.0,0.0,-0.025578627810559685,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0.0,-0.3435512218266723,-0.30067009714659143,-0.2628858064866826,-0.220426857777845,-0.19615895905920944,-0.1689250220877625,-0.13861433018498115,-0.11827868230558236,-0.09579891100094429,-0.07114199719146752,-0.07383329838750119,-0.06118295698852272,-0.04743087551184422,-0.048912393527142495,0.0,-0.05160026007488394,0.0,0.0,-0.05451934988177254,0.0,0.0,-0.05518492527212071,0.0,0.0,0.0,-0.04994891018055156,0.0,0.0,0.0,-0.032681321600752856,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0.0,-0.3268255265190092,-0.28629268485556025,-0.2505584142888253,-0.21030864518934322,-0.18736282911116664,-0.16154267216640772,-0.13272680306895612,-0.11341172469680316,-0.09199453068211927,-0.06842779357210294,-0.07114199719146752,-0.05906663871000095,-0.04588721774139193,-0.04743087551184422,0.0,-0.05031037970931396,0.0,0.0,-0.05373912867265018,0.0,0.0,-0.05529260905116179,0.0,0.0,0.0,-0.05213315268214075,0.0,0.0,0.0,-0.03852392522006558,0.0,0.0,0.0,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0.0,-0.3106482288411705,-0.27235460543250767,-0.23857723737963177,-0.20044673143105918,-0.17876234841094263,-0.15429880044449007,-0.1269263852736051,-0.10859465705641913,-0.08820911920862429,-0.06571037905865684,-0.06842779357210294,-0.05691359775317406,-0.044299979032500714,-0.04588721774139193,0.0,-0.048912393527142495,0.0,0.0,-0.05275389106075401,0.0,0.0,-0.05505292122552885,0.0,0.0,0.0,-0.053677786773523806,0.0,0.0,0.0,-0.04326025735310059,0.0,0.0,0.0,-0.017043792692898047,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.0,-0.2950340652914747,-0.2588735240343034,-0.2269621711937546,-0.1908617899037086,-0.17037972171640092,-0.14721605163254115,-0.12123477177781528,-0.10384886067840382,-0.08446251104388125,-0.06300651372044608,-0.06571037905865684,-0.05474223485768204,-0.0426851983148806,-0.044299979032500714,0.0,-0.04743087551184422,0.0,0.0,-0.05160026007488394,0.0,0.0,-0.05451934988177254,0.0,0.0,0.0,-0.05466940188093372,0.0,0.0,0.0,-0.04702771480835968,0.0,0.0,0.0,-0.025578627810559685,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,0.0,-0.2799921906557614,-0.24586172107623305,-0.21572793669525758,-0.18156973695500334,-0.1622325214181508,-0.1403127120017409,-0.11566975485413877,-0.09919208600002971,-0.08077133608320386,-0.06033036503134359,-0.06300651372044608,-0.05256830324692596,-0.041056676143261805,-0.0426851983148806,0.0,-0.04588721774139193,0.0,0.0,-0.05031037970931396,0.0,0.0,-0.05373912867265018,0.0,0.0,0.0,-0.05518492527212071,0.0,0.0,0.0,-0.04994891018055156,0.0,0.0,0.0,-0.032681321600752856,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,0.0,-0.2655269595614804,-0.2333268255464631,-0.20488476756352725,-0.17258234935620465,-0.15433427641175435,-0.13360325293259478,-0.11024570228708264,-0.09463889033520445,-0.07714940022224503,-0.05769381148800257,-0.06033036503134359,-0.05040521097635664,-0.039426227435194194,-0.041056676143261805,0.0,-0.044299979032500714,0.0,0.0,-0.048912393527142495,0.0,0.0,-0.05275389106075401,0.0,0.0,0.0,-0.05529260905116179,0.0,0.0,0.0,-0.05213315268214075,0.0,0.0,0.0,-0.03852392522006558,0.0,0.0,0.0,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
