,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475,t=480,t=485
105,0.0,0.09081344248950757,0.0954511280951101,0.07289721690180814,0.06213581067147949,0.052594628448407475,0.060299950669138826,0.06030545997418698,0.06010853903044907,0.05372372173226322,0.04972037875049751,0.04522219574848463,0.05027466598369323,0.04512206880376926,0.03945457801918017,0.03697777398104473,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.0,0.08632669231034924,0.09081344248950757,0.06941900225098913,0.05922898873271912,0.050186616311579564,0.057603640681589165,0.0576782136835241,0.05756430270263302,0.05152160488324206,0.047754419317567305,0.04350533140668531,0.0484523525876621,0.04357137718586746,0.03818021206472783,0.035867798199254695,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0.0,0.08199513880494917,0.08632669231034924,0.0660461399923691,0.05640293932892868,0.04783879859181158,0.054966294055539544,0.05509913456499834,0.05505647669790934,0.049340830887971164,0.04579698211843739,0.04178511690287139,0.04661285507859141,0.04199203890930716,0.036868088388041696,0.03470928369520712,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.0,0.07782147496971643,0.08199513880494917,0.06278304895298122,0.05366248874379991,0.0455562202272116,0.05239487464817461,0.05257645518355958,0.052594628448407475,0.04719126574106516,0.04385851634486326,0.040072359353632715,0.04476976811021935,0.040397807734779224,0.03553172523095221,0.033516443989128814,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0.0,0.0738070444134864,0.07782147496971643,0.05963282822178117,0.051011227274297265,0.04334277936999221,0.049894907867898436,0.05011683661999311,0.050186616311579564,0.04508111009863499,0.0419477917698357,0.03837620180175535,0.042934670736035054,0.038800465695523444,0.034182760390967036,0.03230156839177473,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.0,0.06995203550871186,0.0738070444134864,0.056597436341611886,0.048451672930197226,0.041201375875393915,0.04747066311951529,0.04772556404755505,0.04783879859181158,0.04301709969563964,0.04007209786545333,0.03670431779860624,0.0411173590733093,0.037210047971230384,0.03283116328082753,0.03107523671906094,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0.0,0.0662556533704457,0.06995203550871186,0.05367785048253549,0.045985417027559684,0.039134043520543886,0.045125316434955244,0.045406721244753784,0.0455562202272116,0.04100468450726708,0.03823742195167968,0.035063085632271666,0.03932605478422097,0.035635044530201394,0.031485425206425714,0.029846512073479565,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.0,0.06271627195527352,0.0662556533704457,0.05087420764269946,0.04361325351706013,0.037142067599182794,0.042861095284405216,0.04316334615517462,0.04334277936999221,0.03904818876618139,0.03644860845090407,0.03345774420771973,0.037567591748862504,0.03408258081299151,0.03015272998709349,0.02862311382402337,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,0.0,0.05933156834797739,0.06271627195527352,0.04818592972396043,0.04133529370969335,0.03522608937916392,0.040679407370533556,0.040997569402474586,0.041201375875393915,0.03715095374570762,0.03470950112549456,0.03189253239454107,0.035847583079699714,0.03255857951568083,0.02883910684176205,0.02741157271553953,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0.0,0.056098641100569,0.05933156834797739,0.045611834149289744,0.03915106790071788,0.03338619876552154,0.038580955034322406,0.03891073748485822,0.039134043520543886,0.035315465036051936,0.03302306999618455,0.03037081348480775,0.034170570422722576,0.031067905335739745,0.02754956728249917,0.02621736985614731,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0.0,0.053014114304458605,0.056098641100569,0.04315023152580164,0.037059615246297965,0.031622016381349045,0.03656583674319026,0.0369035222067432,0.037142067599182794,0.03354346587475191,0.03139152447649061,0.02889518624666149,0.03254015730515117,0.02961449436635956,0.02628822759177979,0.025045061165908326,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.0,0.05007422891013641,0.053014114304458605,0.04079901170950465,0.035059563114713886,0.029932766160471403,0.03463363698909658,0.03497601775435593,0.03522608937916392,0.03183605794215669,0.029816414110890584,0.0274675839169293,0.030959128121423027,0.02820146966446434,0.025058418309996555,0.0238983887197998,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0.0,0.04727492265821539,0.05007422891013641,0.03855571949415167,0.03314919701397257,0.028317339438807338,0.03278350579480203,0.03312782668522285,0.03338619876552154,0.03019379089642622,0.028298718170805943,0.026089362347029275,0.029429554196709964,0.026831244371899956,0.023862782023777524,0.022780380281815046,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0.0,0.04461189984954198,0.04727492265821539,0.036417621025553716,0.031326522088998256,0.026774351434362437,0.03101422890916995,0.03135813597763676,0.031622016381349045,0.028616741799018446,0.026838925241267745,0.02476137839945522,0.02795288822895994,0.025505613637148632,0.022703360622376892,0.021693438203434102,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0.0,0.04208069205898433,0.04461189984954198,0.03438176193324751,0.029589317083262418,0.025302190918037027,0.029324289666206472,0.029665784173988696,0.029932766160471403,0.027104585469727733,0.02543710382134973,0.0234840595861093,0.02653004828513059,0.024225836465098613,0.02158167307758731,0.020639418747615348,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.0,0.03967671078623893,0.04208069205898433,0.03244501807239412,0.027935181570763634,0.02389906379801963,0.027711923386421505,0.0280493205502845,0.028317339438807338,0.02565665670897548,0.024092964861980214,0.022257465843681035,0.025161492413688532,0.022992708513779842,0.020498784701237293,0.019619702797806633,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,0.0,0.03739529293645125,0.03967671078623893,0.03060413967926127,0.02636157718382026,0.02256303126869368,0.026175165112116715,0.026507057152229303,0.026774351434362437,0.024272005233263422,0.022805917074644872,0.021081344254232706,0.023847284832515386,0.021806626758530064,0.01945536874242911,0.01863525881930662,0.011771821678683979,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,0.0,0.035231739932617,0.03739529293645125,0.028855789662719178,0.024865863489399825,0.02129204311000865,0.024711891389521623,0.025037114455068205,0.025302190918037027,0.022949444086596354,0.02157511576290082,0.019955177440314286,0.022587154558106465,0.020667646854846674,0.0184517611033716,0.017686698856753724,0.011181155291583969,0.011771821678683979,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,0.0,0.03318135117970924,0.035231739932617,0.027196576681055424,0.023445329100959367,0.02008396666451522,0.023319856739533257,0.023637461329107694,0.02389906379801963,0.021687592215460284,0.020399505854752326,0.018878226292538238,0.021380547257479593,0.01957553395035894,0.017488008877177965,0.016774328275792352,0.010612019314052227,0.011181155291583969,0.011771821678683979,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.0,0.0312394525264324,0.03318135117970924,0.025623083587357764,0.022097218553357556,0.018936611966159467,0.021996725394469036,0.02230594992477099,0.02256303126869368,0.020484911826873925,0.019277859747075837,0.01784956762290829,0.02022667102771954,0.018529807623148983,0.016563913342611425,0.0158981898883436,0.010064596965475403,0.010612019314052227,0.011181155291583969,0.011771821678683979,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,0.0,0.02940142030368483,0.0312394525264324,0.02413189176706121,0.02081875541472822,0.017847753446942616,0.020740098820079395,0.021040346029492164,0.02129204311000865,0.019339741087451696,0.018208810512776858,0.016868127278691348,0.019124536738830317,0.017529781557356943,0.01567906798881838,0.015058103038737655,0.009538913933006148,0.010064596965475403,0.010612019314052227,0.011181155291583969,0.011771821678683979,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,0.0,0.027662701458537903,0.02940142030368483,0.022719601837405328,0.01960716206073726,0.016815148604203533,0.019547539489508558,0.019838355393119466,0.02008396666451522,0.018250322665721675,0.017190880966623755,0.01593270919867974,0.018072993512883606,0.016574598506986286,0.014832892086994348,0.014253698171653076,0.009034861823242578,0.009538913933006148,0.010064596965475403,0.010612019314052227,0.011181155291583969,0.011771821678683979,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0.0,0.02601883024818787,0.027662701458537903,0.02138285112995253,0.018459676492891857,0.015836553972133932,0.018416591328413372,0.018697646468225627,0.018936611966159467,0.01721482856958446,0.01622250903619706,0.015042020845795775,0.017070759855728312,0.015663261044499128,0.01402466027514225,0.013484447351813042,0.008552218902991827,0.009034861823242578,0.009538913933006148,0.010064596965475403,0.010612019314052227,0.011181155291583969,0.011771821678683979,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
