,pump_bgs,bg,carb,insulin,iob,cir,isf,sbr,temp_basal,relative_temp_basal_insulin
85,56.14599817754297,67.54712753360322,0.0,0.0,0.5409733211836198,20.0,150.0,0.3,0.0,-0.024999999999999998
90,52.43077945215134,65.43105382342961,0.0,0.0,0.5162051963476757,20.0,150.0,0.3,0.0,-0.024999999999999998
95,48.80843211308074,63.50847225899565,0.0,0.0,0.49205621408720496,20.0,150.0,0.3,0.0,-0.024999999999999998
100,45.28673977912649,61.784370486732335,0.0,0.0,0.4685782651941766,20.0,150.0,0.3,0.0,-0.024999999999999998
105,41.87171674227372,60.26179976259418,0.0,0.0,0.44581144494849145,20.0,150.0,0.3,0.0,-0.024999999999999998
110,38.56783706489348,58.94214683341134,0.0,0.0,0.42378558043262327,20.0,150.0,0.3,0.0,-0.024999999999999998
115,35.378238574553436,57.8253750493337,0.0,0.0,0.40252159049702296,20.0,150.0,0.3,0.0,-0.024999999999999998
120,32.30490429588204,56.91023787355447,0.0,0.0,0.38203269530588024,20.0,150.0,0.3,0.0,-0.024999999999999998
125,29.34882361356719,56.19446764641831,0.0,0.0,0.3623254907571146,20.0,150.0,0.3,0.0,-0.024999999999999998
130,26.510135238233204,55.6749421811334,0.0,0.0,0.34340090158822134,20.0,150.0,0.3,0.0,-0.024999999999999998
135,23.788253845509914,55.347831514923726,0.0,0.0,0.3252550256367328,20.0,150.0,0.3,0.0,-0.024999999999999998
140,21.18198207615586,55.2087269101209,0.0,0.0,0.30787988050770576,20.0,150.0,0.3,0.0,-0.024999999999999998
145,18.68960941987416,55.252753992176025,0.0,0.0,0.29126406279916106,20.0,150.0,0.3,0.0,-0.024999999999999998
150,16.30899935587344,55.47467172384549,0.0,0.0,0.27539332903915625,20.0,150.0,0.3,0.0,-0.024999999999999998
155,14.037665987828504,55.868958745027534,0.0,0.0,0.2602511065855234,20.0,150.0,0.3,0.0,-0.024999999999999998
160,11.872841288373067,56.4298884542284,0.0,0.0,0.2458189419224871,20.0,150.0,0.3,0.0,-0.024999999999999998
165,9.811533957413047,57.15159406889579,0.0,0.0,0.23207689304942036,20.0,150.0,0.3,0.0,-0.024999999999999998
170,7.850580798299021,58.02812477649568,0.0,0.0,0.21900387198866011,20.0,150.0,0.3,0.0,-0.024999999999999998
175,5.986691425252019,59.053493974969456,0.0,0.0,0.20657794283501352,20.0,150.0,0.3,0.0,-0.024999999999999998
180,4.216487033503142,60.2217204989566,0.0,0.0,0.1947765802233543,20.0,150.0,0.3,0.0,-0.024999999999999998
185,2.536533889568574,61.52686363586734,0.0,0.0,0.18357689259712384,20.0,150.0,0.3,0.0,-0.024999999999999998
190,0.9433721321996984,62.96305265260403,0.0,0.0,0.17295581421466466,20.0,150.0,0.3,0.0,-0.024999999999999998
195,-0.5664595858505521,64.52451147860518,0.0,0.0,0.16289026942766305,20.0,150.0,0.3,0.0,-0.024999999999999998
200,-1.9964031396271196,66.20557912315158,0.0,0.0,0.15335731240248585,20.0,150.0,0.3,0.0,-0.024999999999999998
205,-3.349863230923077,68.0007263438257,0.0,0.0,0.14433424512717952,20.0,150.0,0.3,0.0,-0.024999999999999998
210,-4.6301925623494355,69.90456902802016,0.0,0.0,0.13579871625100381,20.0,150.0,0.3,0.3,0.0
215,-5.840679544516277,71.89810963713316,0.0,0.0,0.15263700928499485,20.0,150.0,0.3,0.3,0.0
220,-6.984538230389617,73.95596480953924,0.0,0.0,0.16969224039170386,20.0,150.0,0.3,0.3,0.0
225,-8.064900203390366,76.05616949400236,0.0,0.0,0.18682973454675617,20.0,150.0,0.3,0.3,0.0
230,-9.084808175070066,78.17979631357613,0.0,0.0,0.2039345044226053,20.0,150.0,0.3,0.3,0.0
235,-10.047211074544109,80.31061376878971,0.0,0.0,0.22090898911022466,20.0,150.0,0.3,0.3,0.0
240,-10.954960435565951,82.43477950777766,0.0,0.0,0.23767102728948397,20.0,150.0,0.3,0.3,0.0
245,-11.81080790843967,84.54056524621018,0.0,0.0,0.25415204185895274,20.0,150.0,0.3,0.3,0.0
250,-12.617403743123361,86.61811024232395,0.0,0.0,0.27029541521394757,20.0,150.0,0.3,0.3,0.0
255,-13.377296107081932,88.65920052501963,0.0,0.0,0.2860550363380147,20.0,150.0,0.3,0.3,0.0
260,-14.092931116891648,90.6570713385896,0.0,0.0,0.30139400266609395,20.0,150.0,0.3,0.3,0.0
265,-14.766653476454309,92.60623050863262,0.0,0.0,0.31628346130407436,20.0,150.0,0.3,0.3,0.0
270,-15.400707627100104,94.50230065234398,0.0,0.0,0.3307015756645389,20.0,150.0,0.3,0.3,0.0
275,-15.997239325984651,96.34187835468327,0.0,0.0,0.344632604916063,20.0,150.0,0.3,0.3,0.0
280,-16.558297579146455,98.12240861177098,0.0,0.0,0.358066084856065,20.0,150.0,0.3,0.3,0.0
285,-17.085836864500706,99.8420730059403,0.0,0.0,0.3709960999163604,20.0,150.0,0.3,0.6,0.024999999999999998
290,-17.58171958800601,101.48592116197615,0.0,0.0,0.40832884325511676,20.0,150.0,0.3,0.55,0.02083333333333334
295,-18.047718723350442,103.03529680288088,0.0,0.0,0.4407788070234907,20.0,150.0,0.3,0.5,0.016666666666666666
300,-18.485520591844022,104.47864920589933,0.0,0.0,0.4682742081191983,20.0,150.0,0.3,0.45,0.012500000000000002
305,-18.896727744854957,105.8105376599875,0.0,0.0,0.4907837000825908,20.0,150.0,0.3,0.3,0.0
310,-19.28286191615632,107.03533818622897,0.0,0.0,0.5000077661989863,20.0,150.0,0.3,0.3,0.0
315,-19.64536701602134,108.16176018852094,0.0,0.0,0.5085088449150028,20.0,150.0,0.3,0.3,0.0
320,-19.985612142874658,109.19779734811735,0.0,0.0,0.5163443496562243,20.0,150.0,0.3,0.3,0.0
325,-20.30489459182749,110.15078698483141,0.0,0.0,0.5235670778654613,20.0,150.0,0.3,0.3,0.0
330,-20.604442842540692,111.0274644552005,0.0,0.0,0.5302255864007845,20.0,150.0,0.3,0.3,0.0
335,-20.885419511614373,111.8340130054266,0.0,0.0,0.5363645360853263,20.0,150.0,0.3,0.3,0.0
340,-21.148924257132705,112.57610946152728,0.0,0.0,0.5420250079672693,20.0,150.0,0.3,0.3,0.0
345,-21.395996625133762,113.25896610676259,0.0,0.0,0.5472447936345538,20.0,150.0,0.3,0.3,0.0
350,-21.627618829654324,113.88736906678835,0.0,0.0,0.5520586617329378,20.0,150.0,0.3,0.3,0.0
355,-21.8447184596491,114.46571349588913,0.0,0.0,0.5564986026566375,20.0,150.0,0.3,0.3,0.0
360,-22.048171107526088,114.99803583284904,0.0,0.0,0.560594053216458,20.0,150.0,0.3,0.3,0.0
365,-22.238802915296787,115.4880433723317,0.0,0.0,0.5643721029398061,20.0,150.0,0.3,0.3,0.0
370,-22.417393035433463,115.93914137687918,0.0,0.0,0.5678576835191164,20.0,150.0,0.3,0.3,0.0
375,-22.584676004472556,116.35445793564058,0.0,0.0,0.5710737427989198,20.0,150.0,0.3,0.3,0.0
380,-22.741344028219032,116.73686675855585,0.0,0.0,0.574041404576092,20.0,150.0,0.3,0.3,0.0
385,-22.888049178108815,117.0890080788068,0.0,0.0,0.5767801153818188,20.0,150.0,0.3,0.3,0.0
390,-23.025405498883714,117.41330782178642,0.0,0.0,0.5793077793167045,20.0,150.0,0.3,0.3,0.0
395,-23.153991028242643,117.71199518550755,0.0,0.0,0.5816408819214671,20.0,150.0,0.3,0.3,0.0
400,-23.274349729559844,117.9871187651734,0.0,0.0,0.583794603984136,20.0,150.0,0.3,0.3,0.0
405,-23.386993339118902,118.24056134346529,0.0,0.0,0.5857829261099485,20.0,150.0,0.3,0.3,0.0
410,-23.49240312960535,118.47405345788219,0.0,0.0,0.5876187248116899,20.0,150.0,0.3,0.3,0.0
