,pump_bgs,bg,carb,insulin,iob,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual,temp_basal,relative_temp_basal_insulin
120,211.59947494428735,199.98649558243426,0.0,0.0,0.8325035560946655,30.0,20.0,150.0,150.0,0.15,0.3,0.4,0.008333333333333337
125,211.84228292355616,199.11982917360754,0.0,0.0,0.8347462328956083,30.0,20.0,150.0,150.0,0.15,0.3,0.35,0.004166666666666666
130,211.96255865197577,198.08999787129133,0.0,0.0,0.8323735047708676,30.0,20.0,150.0,150.0,0.15,0.3,0.35,0.004166666666666666
135,211.97965008994265,196.92558405577907,0.0,0.0,0.8296334978146988,30.0,20.0,150.0,150.0,0.15,0.3,0.35,0.004166666666666666
140,211.9104324770378,195.6515017405439,0.0,0.0,0.8265976653114763,30.0,20.0,150.0,150.0,0.15,0.3,0.35,0.004166666666666666
145,211.7695992753949,194.28941852122992,0.0,0.0,0.8233285257342925,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
150,211.56992017248908,192.860426175026,0.0,0.0,0.8157292593589464,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
155,211.32246980470723,191.38417189754108,0.0,0.0,0.8080365540533537,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
160,211.0368304594113,189.8775229212192,0.0,0.0,0.8003104983830114,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
165,210.72127165394045,188.3548953968967,0.0,0.0,0.7926023766762325,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
170,210.38290917023158,186.8285471777647,0.0,0.0,0.7849556810794254,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
175,210.02784583913126,185.30883832915669,0.0,0.0,0.777407018639837,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
180,209.6612961151559,183.80446278911032,0.0,0.0,0.7699869237114971,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
185,209.28769625699408,182.32265424749355,0.0,0.0,0.7627205850045038,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
190,208.91080172837533,180.8693689913489,0.0,0.0,0.7556284957125343,30.0,20.0,150.0,150.0,0.15,0.3,0.35,0.004166666666666666
195,208.53377325532614,179.44715333336725,0.0,0.0,0.7528784020584189,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
200,208.15925281687484,178.05878562548077,0.0,0.0,0.7461424758177302,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
205,207.78943070479397,176.70783354978707,0.0,0.0,0.7396006418581526,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
210,207.42610466206023,175.3970698471519,0.0,0.0,0.7332630089652595,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
215,207.07073199766,174.1285788880575,0.0,0.0,0.7271369478785601,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
220,206.7244754756517,172.90385094203833,0.0,0.0,0.7212274574213835,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
225,206.3882436876573,171.7238654754643,0.0,0.0,0.7155374899768889,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
230,206.0627265389949,170.5891646681558,0.0,0.0,0.7100682404522216,30.0,20.0,150.0,150.0,0.15,0.3,0.35,0.004166666666666666
235,205.74842640840066,169.497623370633,0.0,0.0,0.70897077017897,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
240,205.44568547877566,168.44800425410438,0.0,0.0,0.7039028877825911,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
245,205.15470968077216,167.44043772566278,0.0,0.0,0.6990322148621853,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
250,204.8755896415546,166.47476876592233,0.0,0.0,0.6943583818553545,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
255,204.6083189870536,165.55060219507575,0.0,0.0,0.6898798953888992,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
260,204.3528103068795,164.66734241880425,0.0,0.0,0.6855943156234634,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
265,204.10890905624197,163.82422826285472,0.0,0.0,0.681498412693706,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
