,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
75,172.8154326486319,172.72102588881154,172.72102588881154,0.35,0.004166666666666666,0.4597085182717755,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
80,172.21355440749824,172.06449016232966,172.06449016232966,0.35,0.004166666666666666,0.4752287020089179,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
85,171.6227108276178,171.4033131921649,171.4033131921649,0.35,0.004166666666666666,0.49001455890736445,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
90,171.0447879147791,170.738407252315,170.738407252315,0.35,0.004166666666666666,0.5040875525402451,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
95,170.48131166203478,170.07057025499878,170.07057025499878,0.35,0.004166666666666666,0.517470200727226,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
100,169.93349285453078,169.4004981073317,169.4004981073317,0.35,0.004166666666666666,0.5301857826648394,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
105,169.40226704879814,168.7287958274757,168.7287958274757,0.35,0.004166666666666666,0.5422580853810351,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
110,168.88833021009455,168.055987539558,168.055987539558,0.35,0.004166666666666666,0.553711185140268,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
115,168.39217044493054,167.3825254554962,167.3825254554962,0.35,0.004166666666666666,0.5645692598714397,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
120,167.91409622380388,166.70879794172987,166.70879794172987,0.35,0.004166666666666666,0.5748564290937166,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
125,167.45426145099935,166.03513675965843,166.03513675965843,0.35,0.004166666666666666,0.5845966181787157,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
130,167.01268770372516,165.36182356022647,165.36182356022647,0.35,0.004166666666666666,0.5938134441155087,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
135,166.58928393152377,164.6890957055137,164.6890957055137,0.35,0.004166666666666666,0.6025301202406661,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
140,166.18386387851314,164.01715148330007,164.01715148330007,0.35,0.004166666666666666,0.6107693776622337,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
145,165.79616146531376,163.3461547743279,163.3461547743279,0.3,0.0,0.6143867346801739,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
150,165.42584434424697,162.67853407010173,162.67853407010173,0.35,0.004166666666666666,0.6217524113475316,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
155,165.07252582032888,162.01548809162884,162.01548809162884,0.35,0.004166666666666666,0.628727968896199,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
160,164.73577531152472,161.35655933406196,161.35655933406196,0.35,0.004166666666666666,0.6353300811213777,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
165,164.4151275044865,160.70133418318025,160.70133418318025,0.35,0.004166666666666666,0.6415751604779835,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
170,164.11009034640207,160.04943881635384,160.04943881635384,0.3,0.0,0.6433126322543812,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
175,163.82015199948364,159.40283032314576,159.40283032314576,0.35,0.004166666666666666,0.6489068518228556,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
180,163.54478687187827,158.76229521303262,158.76229521303262,0.35,0.004166666666666666,0.6542137449838611,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
185,163.28346082726623,158.12701655999868,158.12701655999868,0.35,0.004166666666666666,0.6592445787579994,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
190,163.03563566500884,157.49626836174372,157.49626836174372,0.3,0.0,0.6598439189422627,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
195,162.80077295331213,156.87170110811115,156.87170110811115,0.35,0.004166666666666666,0.6643715336243696,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
200,162.57833728939133,156.2538352955543,156.2538352955543,0.35,0.004166666666666666,0.668679020218504,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
205,162.36779905296754,155.64162408355634,155.64162408355634,0.35,0.004166666666666666,0.6727735633920503,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
210,162.16863671252344,155.034143621947,155.034143621947,0.3,0.0,0.672495880210516,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
215,161.9803387375197,154.4328749995037,154.4328749995037,0.3,0.0,0.6720354450341318,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
220,161.80240516416163,153.8404893543828,153.8404893543828,0.35,0.004166666666666666,0.6755890706906611,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
225,161.6343488572504,153.25690950750658,153.25690950750658,0.35,0.004166666666666666,0.6790013346367842,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
230,161.4756965061002,152.68056789570863,152.68056789570863,0.35,0.004166666666666666,0.6822729816368223,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
235,161.32598938840425,152.1100884874148,152.1100884874148,0.35,0.004166666666666666,0.6854054872343921,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
240,161.1847839322453,151.54426632566543,151.54426632566543,0.35,0.004166666666666666,0.6884009394087359,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
245,161.0516521031316,150.9820491116936,150.9820491116936,0.3,0.0,0.6870952676288423,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
250,160.9261816399586,150.42481547740437,150.42481547740437,0.3,0.0,0.6856734501144838,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
255,160.8079761611206,149.87515681483006,149.87515681483006,0.35,0.004166666666666666,0.6883280782700845,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
260,160.69665515959463,149.33293598413132,149.33293598413132,0.3,0.0,0.6867331003030386,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
265,160.59185390366267,148.79883748497662,148.79883748497662,0.35,0.004166666666666666,0.6892341744797009,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
