,pump_bgs,bg,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
400,-38.082610810621986,119.04692707350087,0.3,0.0,0.6158599927063193,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
405,-38.20777037679872,119.33038453597457,0.3,0.0,0.6180484140600108,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
410,-38.32489236622811,119.58286523753208,0.3,0.0,0.6200108033426894,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
415,-38.4344795464917,119.80749840942435,0.3,0.0,0.6217692778975559,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
420,-38.537004485496425,120.00711120367501,0.3,0.0,0.6233438624449775,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
425,-38.632911245809254,120.1842570220938,0.3,0.0,0.6247526826934678,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
430,-38.72261699586676,120.34124124022999,0.3,0.0,0.6260121413150644,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
435,-38.80651354086348,120.48014456252125,0.3,0.0,0.6271370778735289,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
440,-38.8849687761836,120.60284422368298,0.3,0.0,0.62814091415191,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
445,-38.95832806627587,120.71103323206083,0.3,0.0,0.6290357861967163,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
450,-39.02691555188375,120.80623783307088,0.3,0.0,0.6298326642781359,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
455,-39.091035388534664,120.88983335482436,0.3,0.0,0.6305414618584034,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
460,-39.15097291917044,120.96305858343442,0.3,0.0,0.6311711345626086,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
465,-39.20699578376215,121.02702880221004,0.3,0.0,0.6317297700571524,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
470,-39.25935496870525,121.08274761683526,0.3,0.0,0.6322246696598697,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
