,pump_bgs,bg,carb,insulin,iob,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual,temp_basal,relative_temp_basal_insulin
300,110.0,183.54461968855617,0.0,0.0,0.495380678003577,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
305,110.0,184.3397195351441,0.0,0.0,0.5018115792503013,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
310,110.0,185.0982475289263,0.0,0.0,0.5079271618169684,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
315,110.0,185.82113977837196,0.0,0.0,0.5137380421806763,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
320,110.0,186.50940559924007,0.0,0.0,0.519255071330376,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
325,110.0,187.1641104983644,0.0,0.0,0.524489234622348,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
330,110.0,187.78636137063097,0.0,0.0,0.5294515658369878,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
335,110.0,188.37729366618856,0.0,0.0,0.5341530738237394,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
340,110.0,188.94035515332655,0.0,0.0,0.5344533125792645,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
345,110.0,189.4777982823856,0.0,0.0,0.5387036748053742,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
350,110.0,189.99024225536104,0.0,0.0,0.5427444829900893,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
355,110.0,190.47836324918345,0.0,0.0,0.5465829343452667,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
360,110.0,190.95665089029004,0.0,0.0,0.5253181535993985,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
365,110.0,191.44617768402534,0.0,0.0,0.5040929983510976,20.0,20.0,150.0,150.0,0.0,0.3,0.15,-0.012499999999999999
370,110.0,191.9579066464372,0.0,0.0,0.4954827853161704,20.0,20.0,150.0,150.0,0.0,0.3,0.15,-0.012499999999999999
375,110.0,192.4966774350084,0.0,0.0,0.48702187279470566,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
380,110.0,193.06414766392774,0.0,0.0,0.48288994394523854,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
385,110.0,193.6601054368674,0.0,0.0,0.478920764435557,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
390,110.0,194.2819051081677,0.0,0.0,0.47926509455924715,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
395,110.0,194.92569346591262,0.0,0.0,0.4797322037908349,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
400,110.0,195.58806296091154,0.0,0.0,0.4803008986223906,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
405,110.0,196.2660053392105,0.0,0.0,0.4809525527482504,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
410,110.0,196.95686983056572,0.0,0.0,0.4816708339629138,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
415,110.0,197.6560306168743,0.0,0.0,0.4865928259472223,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
420,110.0,198.35805614312176,0.0,0.0,0.49151682870795604,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
425,110.0,199.05831158909487,0.0,0.0,0.4964130464734753,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
430,110.0,199.75286724726223,0.0,0.0,0.50125631469528,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
435,110.0,200.43841640581007,0.0,0.0,0.5060255568287884,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
440,110.0,201.11220180445417,0.0,0.0,0.5107032980237184,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
445,110.0,201.77194981900584,0.0,0.0,0.5152752301096833,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
450,110.0,202.41581161084338,0.0,0.0,0.5197298227966197,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
455,110.0,203.0423105501763,0.0,0.0,0.5240579764940835,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
460,110.0,203.65029528796578,0.0,0.0,0.5282527125928183,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
465,110.0,204.2388979112006,0.0,0.0,0.5323088974504233,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
470,110.0,204.80749667048346,0.0,0.0,0.5362229966841915,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
475,110.0,205.35568281806925,0.0,0.0,0.5399928567016414,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
480,,205.8820880621992,0.0,0.0,0.5436175106960524,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
485,,206.3867195932427,0.0,0.0,0.5470970066032206,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
490,,206.86971396161994,,,0.5504322547592803,,,,,,,,
