,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
70,120.47495484024324,126.199009314582,126.199009314582,0.3,0.0,1.6430245620990882,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
75,116.87103764350634,123.18943864366817,123.18943864366817,0.3,0.0,1.6052798426933415,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
80,112.81740749799425,119.68935658686551,119.68935658686551,0.3,0.0,1.5673788479475994,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
85,108.41135115958488,115.79884729649633,115.79884729649633,0.3,0.0,1.5295720478359411,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
90,103.7370583569243,111.60470636808489,111.60470636808489,0.3,0.0,1.4920718161496063,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
95,98.8671507162988,107.18198285445817,107.18198285445817,0.3,0.0,1.4550568668087525,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
100,93.86404294422559,102.59535264516164,102.59535264516164,0.3,0.0,1.4186762270537052,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
105,88.78115413998836,97.90034114407321,97.90034114407321,0.3,0.0,1.3830527931106325,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
110,83.66398523007015,93.14441129371787,93.14441129371787,0.3,0.0,1.3482865095955843,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
115,78.55107683333861,88.3679313078586,88.3679313078586,0.3,0.0,1.3144572099916492,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
120,73.47486035918882,83.60503496371716,83.60503496371716,0.3,0.0,1.281627151969885,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
125,68.46241379212012,78.88438595311852,78.88438595311852,0.0,-0.024999999999999998,1.2248432780923484,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
130,63.5361324088349,74.24362564409252,74.24362564409252,0.0,-0.024999999999999998,1.1692310232562089,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
