,pump_bgs,bg,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
355,-33.03979509540514,89.33722654343892,0.3,0.0,0.5393189019852396,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
360,-33.48612844037211,89.85490460023469,0.3,0.0,0.5432781663418641,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
365,-33.904620154502794,90.37072625881426,0.3,0.0,0.5471940800234603,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
370,-34.29692883353712,90.88188595851513,0.3,0.0,0.551049683539775,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
375,-34.66462210344375,91.38602575631612,0.3,0.0,0.5548309200045669,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
380,-35.009180780938124,91.88118245856447,0.3,0.0,0.5585262844013819,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
385,-35.33200293957384,92.36574030104295,0.3,0.0,0.5621265101182003,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
390,-35.63440787018885,92.83838863046496,0.3,0.0,0.5656242890442111,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
395,-35.91763992692077,93.2980840923581,0.3,0.0,0.5690140218763492,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
400,-36.18287225210295,93.74401687738462,0.3,0.0,0.5722915956046036,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
405,-36.431210375172185,94.17558062086754,0.3,0.0,0.5754541854364615,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
410,-36.66369568228333,94.59234558904777,0.3,0.0,0.5785000786849741,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
415,-36.88130875466277,94.99403482075688,0.3,0.0,0.5814285183843013,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
420,-37.08497257487977,95.3805029250649,0.3,0.0,0.5842395646134891,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
425,-37.27555560118134,95.75171726437003,0.3,0.0,0.5869339717057279,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
430,-37.45387471085647,96.10774127859298,0.3,0.0,0.5895130796983035,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
435,-37.62069801427728,96.44871972988379,0.3,0.0,0.5919787185396141,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
440,-37.77674754183158,96.77486566875926,0.3,0.0,0.5943331237155138,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
445,-37.92270180642524,97.08644894207426,0.3,0.0,0.5965788620892951,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
450,-38.05919824460901,97.3837860808733,0.3,0.0,0.598718766869095,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
455,-38.18683553967736,97.66723142214715,0.3,0.0,0.6007558807246083,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
460,-38.306175830320086,97.93716933297307,0.3,0.0,0.6026934061727273,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
465,-38.417746808575345,98.19400741860292,0.3,0.0,0.6045346624401114,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
470,-38.52204371095445,98.43817060789549,0.3,0.0,0.6062830480905637,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
475,-38.6195312066848,98.67009602019168,0.3,0.0,0.6079420087772643,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
480,,98.98019943089606,0.3,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
