,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
390,-23.025405498883714,1.0,117.0,0.3,0.0,0.6427374329964648,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
395,-23.153991028242643,1.0,117.0,0.3,0.0,0.6422421514649526,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
400,-23.274349729559844,1.0,117.0,0.3,0.0,0.6417781631958709,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
405,-23.386993339118902,1.0,117.0,0.3,0.0,0.641343561829323,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
410,-23.49240312960535,1.0,117.0,0.3,0.0,0.6409365506206101,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
415,-23.591031591842636,1.0,117.0,0.3,0.0,0.6405554367784131,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
420,-23.68330403694688,1.0,117.0,0.3,0.0,0.6401986260286304,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
425,-23.7696201212284,1.0,117.0,0.3,0.0,0.6398646174026269,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
430,-23.850355296280156,1.0,117.0,0.3,0.0,0.6395519982474869,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
435,-23.92586218677721,1.0,117.0,0.3,0.0,0.6392594394548959,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
440,-23.99647189856529,1.0,117.0,0.3,0.0,0.6389856909044742,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
445,-24.062495259648358,1.0,117.0,0.3,0.0,0.6387295771167225,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
450,-24.124223996695434,1.0,117.0,0.3,0.0,0.6384899931102139,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
455,-24.181931849681263,1.0,117.0,0.3,0.0,0.6382659004572414,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
460,-24.23587562725345,1.0,117.0,0.3,0.0,0.6380563235318154,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
465,-24.28629620538598,1.0,117.0,0.3,0.0,0.6378603459436641,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
470,-24.333419471834787,1.0,117.0,0.3,0.0,0.6376771071517261,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
475,-24.377457218858694,1.0,117.0,0.3,0.0,0.6375057992505279,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
480,,1.0,117.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
