,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
145,18.68960941987416,55.252753992176025,55.252753992176025,0.0,-0.024999999999999998,0.29126406279916106,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
150,16.30899935587344,55.47467172384549,55.47467172384549,0.0,-0.024999999999999998,0.27539332903915625,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
155,14.037665987828504,55.868958745027534,55.868958745027534,0.0,-0.024999999999999998,0.2602511065855234,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
160,11.872841288373067,56.4298884542284,56.4298884542284,0.0,-0.024999999999999998,0.2458189419224871,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
165,9.811533957413047,57.15159406889579,57.15159406889579,0.0,-0.024999999999999998,0.23207689304942036,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
170,7.850580798299021,58.02812477649568,58.02812477649568,0.0,-0.024999999999999998,0.21900387198866011,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
175,5.986691425252019,59.053493974969456,59.053493974969456,0.0,-0.024999999999999998,0.20657794283501352,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
180,4.216487033503142,60.2217204989566,60.2217204989566,0.0,-0.024999999999999998,0.1947765802233543,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
185,2.536533889568574,61.52686363586734,61.52686363586734,0.0,-0.024999999999999998,0.18357689259712384,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
190,0.9433721321996984,62.96305265260403,62.96305265260403,0.0,-0.024999999999999998,0.17295581421466466,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
195,-0.5664595858505521,64.52451147860518,64.52451147860518,0.0,-0.024999999999999998,0.16289026942766305,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
200,-1.9964031396271196,66.20557912315158,66.20557912315158,0.0,-0.024999999999999998,0.15335731240248585,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
205,-3.349863230923077,68.0007263438257,68.0007263438257,0.0,-0.024999999999999998,0.14433424512717952,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
210,-4.6301925623494355,69.90456902802016,69.90456902802016,0.3,0.0,0.1607987162510038,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
215,-5.840679544516277,71.89810963713316,71.89810963713316,0.3,0.0,0.17763700928499485,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
220,-6.984538230389617,73.95596480953924,73.95596480953924,0.3,0.0,0.19469224039170385,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
225,-8.064900203390366,76.05616949400236,76.05616949400236,0.3,0.0,0.21182973454675616,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
230,-9.084808175070066,78.17979631357613,78.17979631357613,0.3,0.0,0.2289345044226053,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
235,-10.047211074544109,80.31061376878971,80.31061376878971,0.3,0.0,0.24590898911022466,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
240,-10.954960435565951,82.43477950777766,82.43477950777766,0.3,0.0,0.262671027289484,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
245,-11.81080790843967,84.54056524621018,84.54056524621018,0.3,0.0,0.27915204185895276,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
250,-12.617403743123361,86.61811024232395,86.61811024232395,0.3,0.0,0.2952954152139476,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
255,-13.377296107081932,88.65920052501963,88.65920052501963,0.3,0.0,0.31105503633801473,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
260,-14.092931116891648,90.6570713385896,90.6570713385896,0.3,0.0,0.326394002666094,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
265,-14.766653476454309,92.60623050863262,92.60623050863262,0.3,0.0,0.3412834613040744,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
