,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
70,195.60581921386864,192.12795819513383,192.12795819513383,0.4,0.008333333333333337,0.7242175546361002,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
75,198.98037880199865,194.9618992492303,194.9618992492303,0.5,0.016666666666666666,0.7420962467304222,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
80,201.80535712658576,197.2111207933996,197.2111207933996,0.5,0.016666666666666666,0.7591906093244931,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
85,204.15179884395292,198.9404057686596,198.9404057686596,0.55,0.02083333333333334,0.7796824376503628,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
90,206.08233933087746,200.20501929552108,200.20501929552108,0.55,0.02083333333333334,0.7994072356658473,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
95,207.65216029304412,201.05272019169266,201.05272019169266,0.6,0.024999999999999998,0.822528449056982,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
100,208.90983889244512,201.52381680694015,201.52381680694015,0.55,0.02083333333333334,0.840699321465562,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
105,209.89810215372395,201.65523821331638,201.65523821331638,0.5,0.016666666666666666,0.853918773572254,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
110,210.65449711470393,201.48376723484031,201.48376723484031,0.45,0.012500000000000002,0.8622155492030673,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
115,211.21198603413245,201.0458859481727,201.0458859481727,0.4,0.008333333333333337,0.8656435742604102,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
120,211.59947494428735,200.377641204792,200.377641204792,0.35,0.004166666666666666,0.8642778602437174,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
125,211.84228292355616,199.51452853358833,199.51452853358833,0.4,0.008333333333333337,0.8665442286288139,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
130,211.96255865197577,198.4868031688989,198.4868031688989,0.35,0.004166666666666666,0.8641855400882514,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
135,211.97965008994265,197.32180262501782,197.32180262501782,0.3,0.0,0.8572749549429572,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
140,211.9104324770378,196.047142759043,196.047142759043,0.3,0.0,0.850068605434804,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
145,211.7695992753949,194.68823729213622,194.68823729213622,0.35,0.004166666666666666,0.8468206508736683,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
150,211.56992017248908,193.2647506013421,193.2647506013421,0.3,0.0,0.8392580888677209,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
155,211.32246980470723,191.79449887628994,191.79449887628994,0.35,0.004166666666666666,0.8357720672450134,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
160,211.0368304594113,190.29194408878766,190.29194408878766,0.3,0.0,0.8280733061668016,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
165,210.72127165394045,188.77031462643833,188.77031462643833,0.3,0.0,0.8203718382065105,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
170,210.38290917023158,187.24232630538944,187.24232630538944,0.3,0.0,0.8127142085969243,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
175,210.02784583913126,185.71874433422698,185.71874433422698,0.3,0.0,0.8051397253403063,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
180,209.6612961151559,184.20862046230468,184.20862046230468,0.3,0.0,0.7976813081994604,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
185,209.28769625699408,182.7195038078642,182.7195038078642,0.35,0.004166666666666666,0.7945329154069759,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
190,208.91080172837533,181.25533332089756,181.25533332089756,0.3,0.0,0.7873682579095265,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
195,208.53377325532614,179.82010218630649,179.82010218630649,0.3,0.0,0.7803647277446816,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
200,208.15925281687484,178.4184351321755,178.4184351321755,0.3,0.0,0.7735401391956963,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
205,207.78943070479397,177.05402204830372,177.05402204830372,0.3,0.0,0.7669085651815979,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
210,207.42610466206023,175.72974053938543,175.72974053938543,0.3,0.0,0.7604808135801507,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
215,207.07073199766,174.44776446657016,174.44776446657016,0.3,0.0,0.7542648517353122,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
220,206.7244754756517,173.20965998440138,173.20965998440138,0.3,0.0,0.7482661843704715,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
225,206.3882436876573,172.01647042275556,172.01647042275556,0.3,0.0,0.7424881896254983,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
230,206.0627265389949,170.86879122224985,170.86879122224985,0.3,0.0,0.7369324174795162,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
