,pump_bgs,bg,carb,insulin,iob,cir,isf,sbr,temp_basal,relative_temp_basal_insulin
85,228.08691076504493,187.23077562808075,0.0,0.0,1.0766182367131711,20.0,150.0,0.3,0.3,0.0
90,231.66865957436573,186.63375694143568,0.0,0.0,1.063098819971945,20.0,150.0,0.3,0.3,0.0
95,234.84841268723045,185.63212982747174,0.0,0.0,1.0488911799621765,20.0,150.0,0.3,0.3,0.0
100,237.67128787950003,184.29645252483348,0.0,0.0,1.0341835595848516,20.0,150.0,0.3,0.3,0.0
105,240.17733915715786,182.68827060131983,0.0,0.0,1.0191389894922773,20.0,150.0,0.3,0.3,0.0
110,242.4021250858624,180.8611482628474,0.0,0.0,1.0038980893897815,20.0,150.0,0.3,0.3,0.0
115,244.37721333433095,178.86158738341896,0.0,0.0,0.9885815838287191,20.0,150.0,0.3,0.3,0.0
120,246.130628590562,176.72984619853457,0.0,0.0,0.9732925602020017,20.0,150.0,0.3,0.3,0.0
125,247.68725020641517,174.50066834606255,0.0,0.0,0.9581184940453091,20.0,150.0,0.3,0.3,0.0
130,249.069165212761,172.20393181258814,0.0,0.0,0.9431330643795136,20.0,150.0,0.3,0.3,0.0
135,250.29598171416043,169.8652263356946,0.0,0.0,0.928397779680803,20.0,150.0,0.3,0.3,0.0
140,251.3851071098574,167.5063669110179,0.0,0.0,0.9139634331146371,20.0,150.0,0.3,0.3,0.0
145,252.35199508878415,165.14585024607652,0.0,0.0,0.8998714038999376,20.0,150.0,0.3,0.3,0.0
150,253.21036490321197,162.79926028083165,0.0,0.0,0.8861548200643181,20.0,150.0,0.3,0.3,0.0
155,253.97239603233896,160.47962824875023,0.0,0.0,0.8728395963947488,20.0,150.0,0.3,0.3,0.0
160,254.64890099791214,158.19775217384142,0.0,0.0,0.8599453600671602,20.0,150.0,0.3,0.3,0.0
165,255.24947878397907,155.96248018157755,0.0,0.0,0.8474862752407721,20.0,150.0,0.3,0.3,0.0
170,255.7826510376542,153.78096153840917,0.0,0.0,0.835471776817056,20.0,150.0,0.3,0.3,0.0
175,256.2559829834637,151.65886892002897,0.0,0.0,0.8239072225789865,20.0,150.0,0.3,0.3,0.0
180,256.6761907669322,149.60059503752464,0.0,0.0,0.8127944720342601,20.0,150.0,0.3,0.3,0.0
185,257.0492367505191,147.60942641851437,0.0,0.0,0.802132399477977,20.0,150.0,0.3,0.3,0.0
190,257.38041411406437,145.68769684319523,0.0,0.0,0.7919173480581776,20.0,150.0,0.3,0.3,0.0
195,257.6744219601486,143.8369226692933,0.0,0.0,0.7821435309645937,20.0,150.0,0.3,0.3,0.0
200,257.93543199004245,142.0579220419147,0.0,0.0,0.7728033852606244,20.0,150.0,0.3,0.3,0.0
205,258.16714769631534,140.35091977132777,0.0,0.0,0.7638878833350915,20.0,150.0,0.3,0.3,0.0
210,258.37285691199327,138.71563947113722,0.0,0.0,0.7553868064584961,20.0,150.0,0.3,0.3,0.0
215,258.5554784618895,137.1513843787977,0.0,0.0,0.7472889844834958,20.0,150.0,0.3,0.3,0.0
220,258.7176035780471,135.6571081278517,0.0,0.0,0.739582505326807,20.0,150.0,0.3,0.3,0.0
225,258.8615326669419,134.23147660479125,0.0,0.0,0.7322548975057364,20.0,150.0,0.3,0.3,0.0
230,258.9893079501372,132.87292190134707,0.0,0.0,0.7252932886734977,20.0,150.0,0.3,0.3,0.0
235,259.1027424415314,131.5796892637982,0.0,0.0,0.7186845428000725,20.0,150.0,0.3,0.3,0.0
240,259.20344567236054,130.34987784322067,0.0,0.0,0.7124153783767009,20.0,150.0,0.3,0.3,0.0
245,259.29284652896763,129.18147596324724,0.0,0.0,0.7064724697794162,20.0,150.0,0.3,0.3,0.0
250,259.37221352738726,128.07239154381082,0.0,0.0,0.7008425337079457,20.0,150.0,0.3,0.3,0.0
255,259.4426728124234,127.02047824952336,0.0,0.0,0.6955124024185511,20.0,150.0,0.3,0.3,0.0
260,259.5052241366092,126.02355786893087,0.0,0.0,0.6904690852909754,20.0,150.0,0.3,0.3,0.0
265,259.5607550457772,125.07943937511251,0.0,0.0,0.6856998201087592,20.0,150.0,0.3,0.3,0.0
270,259.6100534725201,124.18593506825381,0.0,0.0,0.6811921152871376,20.0,150.0,0.3,0.3,0.0
275,259.65381891622934,123.34087415630506,0.0,0.0,0.6769337841520132,20.0,150.0,0.3,0.3,0.0
