,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475,t=480,t=485
125,0.0,-0.08211335228652361,-0.08537039662976031,-0.05906663871000095,-0.04588721774139193,-0.04743087551184422,-0.03260826235142811,-0.033540253139542675,-0.017200086691627897,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.0,-0.07885245487038839,-0.08211335228652361,-0.05691359775317406,-0.044299979032500714,-0.04588721774139193,-0.031620583674562774,-0.03260826235142811,-0.016770126569771338,-0.017200086691627897,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0.0,-0.0756078164645353,-0.07885245487038839,-0.05474223485768204,-0.0426851983148806,-0.044299979032500714,-0.03059147849426136,-0.031620583674562774,-0.016304131175714054,-0.016770126569771338,-0.017200086691627897,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.0,-0.07239643803761275,-0.0756078164645353,-0.05256830324692596,-0.041056676143261805,-0.0426851983148806,-0.029533319355000476,-0.03059147849426136,-0.015810291837281443,-0.016304131175714054,-0.016770126569771338,-0.017200086691627897,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,0.0,-0.06923257378560299,-0.07239643803761275,-0.05040521097635664,-0.039426227435194194,-0.041056676143261805,-0.02845679887658703,-0.029533319355000476,-0.01529573924713068,-0.015810291837281443,-0.016304131175714054,-0.016770126569771338,-0.017200086691627897,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0.0,-0.06612805733335225,-0.06923257378560299,-0.04826429202507532,-0.037803908232267425,-0.039426227435194194,-0.02737111742884113,-0.02845679887658703,-0.014766659677500238,-0.01529573924713068,-0.015810291837281443,-0.016304131175714054,-0.016770126569771338,-0.017200086691627897,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0.0,-0.06309259355680297,-0.06612805733335225,-0.04615504919040214,-0.03619821901880638,-0.037803908232267425,-0.02628415162346287,-0.02737111742884113,-0.014228399438293515,-0.014766659677500238,-0.01529573924713068,-0.015810291837281443,-0.016304131175714054,-0.016770126569771338,-0.017200086691627897,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.0,-0.0601340194293174,-0.06309259355680297,-0.044085371555568686,-0.034616286892801496,-0.03619821901880638,-0.02520260548817843,-0.02628415162346287,-0.01368555871442051,-0.014228399438293515,-0.014766659677500238,-0.01529573924713068,-0.015810291837281443,-0.016304131175714054,-0.016770126569771338,-0.017200086691627897,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0.0,-0.05725853697111205,-0.0601340194293174,-0.04206172903786887,-0.03306402866667657,-0.034616286892801496,-0.02413214601253766,-0.02520260548817843,-0.01314207581173149,-0.01368555871442051,-0.014228399438293515,-0.014766659677500238,-0.01529573924713068,-0.015810291837281443,-0.016304131175714054,-0.016770126569771338,-0.017200086691627897,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0.0,-0.054470921086501534,-0.05725853697111205,-0.04008934628621197,-0.03154629677840126,-0.03306402866667657,-0.02307752459520107,-0.02413214601253766,-0.01260130274408916,-0.01314207581173149,-0.01368555871442051,-0.014228399438293515,-0.014766659677500238,-0.01529573924713068,-0.015810291837281443,-0.016304131175714054,-0.016770126569771338,-0.017200086691627897,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,0.0,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
